"word","freq"
"procesos",1
"empezaran",1
"mal",1
"restauraciones",1
"excelentes",1
"incentivar",1
"virtuales",1
"directrices",1
"partes",1
"responder",1
"superiores",1
"difícil",1
"egresado",1
"facilita",1
"generalmente",1
"tic",1
"utilizando",1
"implicaciones",1
"académicos",1
"cuántos",1
"desplegaron",1
"intersedes",1
"pregrado",1
"asciende",1
"consulta",1
"especial",1
"estudiantil",1
"global",1
"porcentaje",1
"saludo",1
"académicas",1
"articulación",1
"competitivos",1
"comunidades",1
"conjuntas",1
"coordinación",1
"diálogo",1
"espacios",1
"estratégicas",1
"panoramas",1
"regional",1
"universidades",1
"entendí",1
"idea",1
"predios",1
"vicerrectoría",1
"cantidad",1
"características",1
"clase",1
"comparación",1
"manizales",1
"pequeña",1
"realizara",1
"resto",1
"contestaron",1
"segundo",1
"verá",1
"profesoral",1
"apertura",1
"yopal",1
"generar",1
"implementado",1
"orinoquia",1
"primera",1
"profesional",1
"aplicar",1
"doctorados",1
"especializaciones",1
"maestrías",1
"pruebas",1
"beca",1
"grado",1
"honor",1
"obtuvieron",1
"través",1
"conclusión",1
"dijo",1
"dolly",1
"entrevista",1
"exactamente",1
"pienso",1
"quedamos",1
"rectora",1
"resolvió",1
"respeto",1
"yamid",1
"conocimiento",1
"tendra",1
"equivalencia",1
"harán",1
"icfes",1
"pasadas",1
"buenas",1
"dirán",1
"tardes",1
"acerca",1
"aprovechar",1
"cronograma",1
"preguntarles",1
"casi",1
"cierre",1
"debido",1
"demora",1
"escoger",1
"estudiar",1
"inscripciones",1
"preocupa",1
"todas",1
"empieza",1
"entregarán",1
"definan",1
"foráneos",1
"hará",1
"quiere",1
"algún",1
"encontrar",1
"futuro",1
"lugar",1
"plan",1
"vienen",1
"alcalde",1
"considerado",1
"cortos",1
"cursos",1
"duque",1
"harvard",1
"participó",1
"presidente",1
