"x"
" malla vial decente campus bogotá vergüenza andar anillo interno junto veterinaria enfermería tristeza espera deterioro extremo buen ejemplo campus"
"buen día nuevamente tema malla vial lamentable malla vial especialmente anillo interno veterinaria evidenciado varios accidentes plan mejorar crítica avenida vergüenza dejen deteriorar avenidas poder"
" continuado reparación vías interior sede bogotá paga servicio vigilancia porterías si pesar vendedores ambulantes entran campus hacen quieren actualizan pupitres salones si arreglan oficinas profesores nunca pasan obliga trabajadores profesores permanecer puesto trabajo permite obreros tractores dañen zonas verdes caminos peatonales recogen residuos tractor tanque dañando caminos zonas verdes pasan planta residuos hace salones agronomía hemeroteca zonas verdes cerca calle huelan basura causen moscas vecindario realizado opciones incluir capital privado adecuación espacio bienestar universitario tipo gimnasio zona basura cerca calle existen tantos jardineros si pasan acostados prado cortan césped dañan dejan solo barro necesita profesor oficina si permanecen cerradas obliga atender estudiantes arreglan baños permite ingreso cualquier persona campus si empresa vigilancia abren baños león greiff día si hacen parte publica acaso espectadores teatro privilegios comunidad universitaria baños cuarto piso edificio nuevo enfermería permanecen cerrados acaso existen baños privados pública solo secretarias pueden entrar baño mujeres entrada iei construyó cafetería último piso enfermería dejando edificio incompleto construcción construyen parqueaderos campus cobre uso"
"buen día malla vial sigue deteriorando día mas inversión lejos ser utilizada aspecto control proveedores parqueo uso espacios deterioro malla vial podría restringir zonas industriales ningún camión debe ingresar campus utilicen carritos carga diferentes cafeterías opinión ayudaría cuidar malla vialmil "
" avance proyecto edificio facultad artes"
" priorizaron construcción edificio ciencias vez edificio artes lleva años edificaciones dignas"
" vicerrector sede bogotá jaime franky rodríguez reacio aprobación construcción edificio artes cansados condiciones recibiendo clases mal aislamiento acústico polideportivo segundo piso sindú olor comida toda hora pésimas condiciones posturales estudiantes clases horas horas debemos trabajar seguimos obligados utilizar butacos pasa ustedes busca vicerrector haciéndose rogar toda situación posible nadie importe situación estudiantes facultad artes importante país necesitamos solución quieren mejorar continuamente si tratan mal estudiantes razón ser alma mater"
" razones construir edificio artes tanta demora"
" razones inicia construcción edificio artes tanta demora artes importantes "
" profesores estudiantes arquitectura diseño industrial artes plásticas después años continuamos tener edificio llevar cabo labores académicas vivimos trabajamos condiciones infrahumanas ruinas bodegas can improvisados salones polideportivos razones validas condena afecta derechos tanta indolencia parte directivas ciudadanos segunda categoría"
" razones construir edificio artes tanta demora"
"buen día quería hace falta empiece construcción edificio arquitectura lleva tantos años demolido"
" pasando edificio nuevos espacios artes"
" permite cambio carrera fácilmente"
" proceso ingresas equipo fútbol "
" grupo asignaturas grupo diferente compañeros carrera primer semestre"
" corrupcion docentes ingenieria jaime aleman casas regalar notas fernando augusto herrera leon ser doble manejo laboratorio labe laboratorio ensayos electricos industriales fabio chaparro francisco javier amortegui ser agresivo estudiantes laboratorio labe ordinario acomplejados hipocritas uy ingenieria si ven muchas cosas feas lado mayoria secretarias levitan funcionaris deben servirle comunidad universitaria veces rogadera uish peor"
" sé si hicieron rendicion presencia si hicieron imprime veces libros propagandas desperdicio organigrama cuanto personal planta cuantos estudiantes carrera periodismo pública significa ser fea planta física deja desear veces buena presentación manaja ambiente apagado interior campus docentes manejan resentimiento social mayoría secretarias petulantes pretenciosas mal educadas atender personas hacen malas funcionarias cuánto gana rectora dolly cuánto ganan decanos fomentan comités estudiantiles limpian lámparas leon greiff dejan prendidas luces viales noche si andan carros desperdicio energía cajeros electrónicos interior u cobran arriendo vendedores confiterías pasajes caminos opr ve tanta vagancia pérdidad tiempo interior u u laboratorio investigacion aeroespacial ministros u u hace festival premios galardonen estudiantes llamaban izadas bandera motivar himno u si ocurren másm escribiré att ing carlos gómez"
